100 1000
48 9 3061
21 66 1582
57 88 2642
99 94 1278
11 95 3336
6 31 2689
15 99 6121
61 39 376
30 13 4981
66 57 3135
12 2 4451
46 61 3833
68 51 1735
71 10 5954
7 40 1059
37 81 5710
93 74 2461
47 92 4613
51 15 3043
26 96 622
15 46 5842
41 64 6226
74 33 712
100 16 2760
29 45 3417
25 75 1178
50 17 4435
38 1 1962
11 26 6153
9 96 3790
79 49 2106
29 85 4173
30 98 139
44 90 3897
72 15 3836
61 19 1072
78 52 6341
11 64 3979
75 80 5651
75 58 1987
48 29 5144
89 70 4921
95 36 28
73 47 5049
97 68 4341
57 83 5917
49 64 3693
66 17 5319
12 78 3725
94 95 155
95 68 4834
73 7 1517
66 32 2225
57 53 1748
95 74 255
87 52 3109
86 57 2714
1 67 7
54 100 4257
46 13 1393
4 18 3077
80 51 718
27 20 2525
55 56 3555
64 25 3646
22 27 857
22 69 4865
97 40 860
100 60 2617
16 37 4788
42 41 3850
84 42 5873
31 22 2835
62 33 3993
53 32 5559
30 38 3994
23 92 2790
11 20 5966
91 95 1209
9 18 248
54 47 4490
47 7 2538
68 44 4274
33 50 4915
75 40 2739
94 25 3410
45 21 3029
50 36 3214
11 46 134
5 47 3800
98 61 2822
100 91 4285
74 16 6039
85 9 5133
47 76 1944
70 71 2834
2 94 4041
33 21 909
54 3 4092
29 7 3492
53 37 1109
70 3 3845
21 65 6177
31 38 2810
19 87 1189
3 100 4276
54 63 1507
94 68 5546
59 69 3039
83 91 2432
34 22 4573
35 9 6285
53 14 489
61 34 5296
56 69 772
37 17 2373
94 51 4157
62 6 2692
93 72 3676
56 70 4732
7 26 1476
36 98 3618
84 7 1040
11 9 4750
33 77 6282
23 22 2169
78 81 2299
83 65 2568
72 27 2458
76 11 5605
67 36 691
26 11 1121
75 86 423
26 18 3351
81 4 4576
13 87 3054
99 48 4508
22 53 460
69 31 488
88 4 793
50 91 4573
5 43 6065
90 28 3004
23 80 4722
32 51 862
9 30 1918
27 75 2993
73 42 3533
33 22 5743
91 69 344
19 60 4723
40 73 5733
11 65 4811
92 50 6107
41 92 1933
25 47 4914
79 4 6040
17 36 2048
50 21 5758
98 80 3605
64 5 3955
81 13 4074
94 100 5660
55 88 2516
94 40 6349
11 38 3364
43 49 3502
16 90 4215
15 83 4137
77 44 2282
100 34 2593
10 72 2498
4 8 2960
23 98 3317
54 87 4970
32 34 490
90 47 363
73 85 6195
77 86 3593
16 39 3659
64 53 6335
15 60 6280
73 3 4715
87 27 4958
42 18 3886
81 82 892
80 15 4381
71 29 6397
14 9 5899
47 64 1191
91 18 4917
82 64 856
5 73 2512
8 92 1319
75 82 5909
76 18 1672
65 8 5245
21 65 377
68 51 5685
95 37 3724
11 42 5493
83 30 1141
35 91 2915
37 57 5474
42 40 374
13 8 5511
63 20 2436
54 9 540
69 90 3929
54 84 1594
86 85 4601
81 19 3067
49 9 1860
50 7 2238
66 89 771
100 95 5178
30 58 1755
29 81 1622
93 99 133
52 57 4846
12 78 4777
47 57 1039
30 88 5156
93 99 3993
36 64 325
6 79 3695
12 69 550
41 8 4657
97 79 1552
95 38 3366
69 77 3380
21 93 4027
58 92 2474
52 89 895
66 63 1613
68 81 1049
49 28 2039
20 43 436
71 50 3378
90 62 5066
58 53 1376
61 55 5409
69 5 4867
4 72 1829
12 20 2771
42 55 4970
36 87 5312
63 62 630
38 25 1248
9 70 1453
4 12 1729
37 26 3831
82 69 2123
59 86 4342
73 42 84
36 14 2558
88 47 3061
35 27 1501
37 78 372
49 18 732
10 13 2080
76 91 1842
33 17 5083
1 46 1651
54 3 1464
3 100 1460
67 8 4940
16 17 419
73 27 2384
88 67 5564
69 32 2691
86 40 857
72 31 1259
62 59 1199
9 12 3903
47 100 256
65 9 1224
84 71 119
15 39 629
30 9 2422
66 77 1474
54 2 5739
44 27 3509
98 58 5171
99 49 5865
1 40 5629
100 56 884
86 33 5167
46 96 2839
6 73 728
54 28 655
29 49 2667
14 70 5955
50 17 6089
13 35 747
91 16 2500
18 55 4164
43 88 1781
43 92 3486
93 95 3447
24 33 4372
98 84 3516
85 100 4634
39 29 1540
32 28 5966
40 60 3139
17 14 4629
68 45 3162
69 79 5166
82 54 353
72 11 1182
12 85 1230
86 95 1981
15 88 1516
20 50 1753
10 85 4252
37 98 881
44 6 849
91 49 5127
32 41 3561
55 43 3890
6 78 2065
89 48 1988
6 99 1587
5 13 4346
57 64 5781
27 59 2940
29 45 1298
20 95 5454
78 91 3370
56 75 2707
8 52 191
91 84 795
27 73 5923
45 84 2768
10 25 2582
2 9 4634
74 29 816
24 74 6230
86 74 585
96 57 2642
83 89 1226
3 66 4230
91 13 2147
8 48 4112
51 31 2262
13 59 1812
46 96 3884
28 38 3134
66 77 2568
83 65 5105
95 51 3267
33 5 3713
7 82 4979
45 62 4275
91 100 595
12 77 5668
93 53 3114
87 30 2424
81 82 1366
68 61 5853
39 19 1468
39 89 5254
39 45 5249
55 20 6318
19 57 1500
20 49 419
84 55 1331
12 27 2586
23 13 3554
13 46 4967
66 8 675
50 47 700
8 28 2500
6 76 941
42 60 4454
68 26 829
88 46 3629
14 57 6069
58 70 5048
99 8 6005
81 70 5051
46 59 2236
59 7 2904
9 91 3494
74 56 361
98 9 1220
20 36 1388
73 50 2320
59 53 5005
24 48 2232
45 48 3787
49 94 3866
83 52 39
34 45 3881
10 80 1918
56 95 5741
20 29 3775
63 94 1580
100 56 3391
8 83 4282
99 96 2921
60 4 6389
80 40 473
59 91 613
98 46 2230
8 41 1235
29 73 1754
70 47 6263
1 37 2460
17 78 5321
24 59 426
79 51 4012
9 2 1997
52 44 2009
61 47 5823
1 84 3551
2 69 5972
90 14 734
25 5 6305
56 99 761
69 51 3724
83 59 3087
72 61 762
63 73 2605
40 28 3757
65 47 4155
93 40 1465
87 30 4160
75 42 3808
51 25 926
86 80 4894
27 25 4508
42 71 3140
34 98 1310
5 30 1694
13 32 121
21 60 516
29 90 4129
98 75 1952
41 21 659
78 7 6279
6 53 1017
97 91 1250
10 45 5760
60 89 1569
47 15 2331
86 31 2342
95 66 448
6 11 5408
71 4 4076
43 78 6344
55 44 260
77 10 2156
50 39 1258
66 20 5499
56 71 5892
94 6 2901
56 70 6283
47 97 2093
42 15 837
34 16 1494
97 84 3725
87 65 3505
43 73 4181
12 66 5028
78 36 3655
100 98 103
59 76 5791
45 67 4254
39 63 6090
99 67 1265
80 94 3242
55 75 515
46 80 3546
83 18 5398
83 65 2177
70 15 6331
76 83 2771
97 80 1134
90 4 2018
78 63 4228
91 74 4362
50 69 5716
14 29 1819
44 93 1907
72 92 2944
22 100 2043
4 31 1650
58 50 5462
83 37 3441
54 3 3554
77 30 2511
71 89 4151
66 97 888
14 3 4182
85 75 986
71 99 6368
47 43 594
22 61 2612
20 49 2691
99 65 657
89 29 394
67 63 861
27 66 4268
14 23 5979
47 46 1766
34 40 3152
50 65 4253
74 86 4362
43 57 2249
62 27 6099
92 52 6176
26 88 2459
23 63 2135
25 27 6195
88 49 4357
17 74 655
67 86 6286
28 33 2548
62 98 1100
27 94 4533
19 90 265
57 35 2410
55 43 2160
30 64 4245
66 38 2396
80 82 656
76 70 3794
30 83 4869
31 91 1294
3 50 2293
16 71 4756
73 45 2871
61 59 3659
75 99 135
41 60 3115
54 4 69
20 42 5845
1 31 3912
33 1 1432
2 36 4541
59 42 1633
35 43 2700
82 12 1112
55 64 2151
76 37 772
40 13 4016
68 19 3489
34 6 1994
22 21 2174
73 86 4370
1 30 2740
83 5 3704
98 73 2365
44 4 527
8 22 762
52 43 1523
16 13 215
53 66 5276
72 9 2074
88 57 2063
25 94 127
81 84 5201
38 1 1075
19 91 4864
13 45 1439
6 57 3879
65 62 4886
3 69 6181
100 20 4205
25 13 2844
53 77 2200
77 97 1526
31 91 1079
7 16 416
31 60 3257
30 32 5123
33 65 5358
49 15 1885
89 84 5157
94 72 239
14 20 2000
1 36 2710
7 30 2284
27 25 76
98 70 2490
25 46 4564
12 56 3957
1 5 3648
21 31 1980
68 20 1666
47 49 3489
36 86 2225
51 45 1947
56 85 4363
69 75 2806
54 96 1101
47 16 3456
16 15 4152
99 2 821
1 71 3228
37 15 3708
6 73 889
93 32 1886
92 6 4916
71 30 682
97 62 5180
44 9 4855
77 74 743
49 9 1382
19 58 2084
3 91 6084
38 78 2057
7 22 4467
76 35 1942
17 53 3609
71 2 3888
71 44 4215
30 8 104
74 25 13
60 90 6198
5 19 2236
14 99 4034
14 58 985
31 40 3178
56 83 2431
62 59 4285
77 93 4450
9 31 287
78 56 6005
76 44 2960
50 36 1420
9 42 6242
89 16 767
48 41 2245
32 58 749
85 79 1146
53 10 2165
66 35 736
80 7 3700
81 78 1829
54 61 6311
81 76 629
74 90 5606
23 34 92
58 67 3688
96 10 754
38 62 647
30 93 2732
63 73 2859
6 47 1060
64 93 2859
99 66 5805
34 72 4279
85 28 3284
23 4 824
84 55 6068
10 76 1079
11 50 990
93 21 844
18 87 155
53 80 5525
71 21 211
44 87 3804
56 19 499
4 18 3930
48 72 6073
5 79 620
24 69 4581
26 37 1455
42 7 1798
100 3 3380
63 1 489
28 97 5315
93 97 3085
64 10 5871
63 90 5060
26 45 5052
58 15 551
51 34 4187
8 62 2300
62 45 5050
77 98 1241
95 31 2575
6 38 84
85 5 1580
3 36 6087
79 20 5946
82 63 2941
38 92 2959
87 81 4519
26 63 210
72 33 5299
9 13 468
38 54 5917
57 59 2975
25 21 2424
8 7 1267
81 49 680
56 81 3672
83 61 5377
23 43 268
20 99 4745
26 3 4479
40 1 3351
56 50 2869
85 43 3097
45 84 5415
21 60 59
72 60 3803
86 41 4391
32 99 4100
25 29 2348
70 11 4179
4 31 5642
79 29 1984
73 7 4705
60 79 3483
46 21 5760
66 84 1814
27 62 4908
40 77 1592
3 67 3889
13 39 2706
44 97 3660
9 32 3169
71 74 4859
31 17 1581
57 4 1053
